اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عينة عطر قود غيرل بلش الكسير من كارولينا هيريرا او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/3a2ae59e-11bb-4c8a-ada8-360d028a77b3-500x500-oTMd2nvubDCladvSrBFk05tpQP3qBS8EanOrcTWw.png",11,متجر ساراء ميكاب.csv,عطر كارولينا هيريرا لا بومبا أو دو بارفيوم 80مل,67.6,GOLDEN-GRAY,كارولينا هيريرا,review,,
عطر لانكوم ابسولو عود بوكية او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/69dba84c-2e28-45c9-af69-48e5cfcbb8ea-500x500-UCGT4AjO0zXyfevFuGjz1kI4jsUsase8257OkVoV.png",855,متجر ساراء ميكاب.csv,عطر لانكوم لافي اي بل ايريس ابسولو او دو بارفيوم 100مل,83.8,GOLDEN-GRAY,لانكوم,review,,
عينة عطر فوند دامور من دي جابور اكسترايت دي بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7b3820bc-e8ea-4393-a6f9-06f78a41bfe2-500x500-c81giJ2LQw2toJT3PN9yE9itysxK1KZVOJqPMZ4j.png",24,متجر ساراء ميكاب.csv,عطر دارلينج روج من دي غابور إكستريت دي بارفيوم 50 مل,73.0,GOLDEN-GRAY,دي غابور,review,,
عينة عطر دي لا لون من دي غابور اكستريت دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1be2e696-0897-4b3f-b7cf-7e4275c2ce3e-500x500-atnNZbgY77Wc59NPMJOr15574w0ToypUqzCXbkoi.png",24,متجر ساراء ميكاب.csv,عطر دارلينج روج من دي غابور إكستريت دي بارفيوم 50 مل,73.7,GOLDEN-GRAY,دي غابور,review,,
عطر أفنسنس نوتس دي فون كوير كركم أودو برفان 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7da50493-b0df-4046-a52a-4cb2c455a6ca-500x500-75fBOjZIt1aferVqenl25ofb6BtKYgQV3nwoCmKE.png",770,متجر ساراء ميكاب.csv,عطر كوانتنس سيرفر برفيوم 100 مل,57.3,GOLDEN-GRAY,,review,,
عطر لاتيه بيستاتشيو اكستريت دي بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/658e4a36-e1d6-4649-96dd-62d2bc632baa-500x500-P75yuqwa8WFy74Yd9C2XHncgJbAu6JF2lgvXb82X.png",690,متجر ساراء ميكاب.csv,عطر رينيير كاسيك إكستريت دو بارفيوم 50مل (للجنسين),63.7,GOLDEN-GRAY,,review,,
عطر لاتي دي تشيري اكستريت دي بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/24b94739-0693-4943-9969-a236cfd67549-500x500-83ZfVmkGqlH3uvb5iGncZ0aSgNHfJiyiunvc2TnS.png",690,متجر ساراء ميكاب.csv,عطر دي غابور جيشا ديفا إكستريت دو بارفيوم 50 مل,55.3,GOLDEN-GRAY,,review,,
عطر هيستوريس دي بارفيومز 1472 او دو بارفيوم 120مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dc1cb726-78bc-4eec-bac8-7a5a43729808-500x500-61Npylg3avoOtjXHokjuQWWHsrYqs9G3Ehe76LyA.png",664,متجر ساراء ميكاب.csv,عطر هيستوريس دي بارفيومز 1/.6 لوف أو دو بارفيوم 120 مل,67.8,GOLDEN-GRAY,,review,,
عطر أفينيسنس كومبافا سيدرات أو دو برفيوم سبراي للجنسين 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/809a2b07-d01a-46ab-95e0-0370ee5f4251-500x500-zwIqItAriDGLyrUPnByPAPe7h0IuEG7nO1vxlJFi.png",662,متجر ساراء ميكاب.csv,عطر أتيلير ماتيري كاكاو بورسيلانا أو دو برفيوم للجنسين 100مل,65.9,GOLDEN-GRAY,,review,,
عطر هيستوريس دي بارفيومز 1804 او دو بارفيوم 120مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/974e3f6f-6c10-45f2-8973-d4a342c3330c-500x500-37L7oh8dPmknkzqkj0XhbkpT64KC38fdpWK7u5TW.png",625,متجر ساراء ميكاب.csv,عطر هيستوريس دي بارفيومز 1826 أو دو برفيوم 120 مل,69.8,GOLDEN-GRAY,,review,,
