اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عطر كالفن كلاين ايفوريا ديب النسائي او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f842706a-7a9e-4da1-a83b-3f619a6eb2b4-500x500-n8XQWRZss937v6wfhjIT1hMIvUZfJz0aT9mGKkXT.png",266,متجر ساراء ميكاب.csv,عطر كالفن كلاين كونتراديكشن النسائي او دو بارفيوم 100مل,85.3,GOLDEN-GRAY,كالفن كلاين,review,,
عطر توس فلورال تاتش او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c03bf761-23c0-4a16-8e7d-f0a7e98e753b-500x500-oac9yDeyXXH9wfrvtkZEm6rGbSwOdY58uvjyPKzl.png",126,متجر ساراء ميكاب.csv,عطر توس كيدز بوي أو دو تواليت 100 مل (للبنين),76.9,GOLDEN-GRAY,توس,review,,
معطر الجسم تيمبتيشن من فيكتوريا سيكريت -250 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4e61de20-38c1-48da-9ec0-7402bc75b2d2-375.21663778163x500-LczNLgHe020yG7oClBS3kryo2TWTBOuC8QZtkq0p.png",59,متجر ساراء ميكاب.csv,معطر جسم فكتوريا سيكريت البخاخ العطري دريم - 250 مل,84.3,GOLDEN-GRAY,فيكتوريا سيكرت,review,,
عطر لانكوم لا في إي بيل فانيل نود - ليو دي بارفيوم سنشوال 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/32d27903-33f8-4b0f-923f-167327a370e9-500x500-rDkUJkGiEksd7D1OWrwQ2RtxH9HnYKbzTQhLehr3.png",612,متجر ساراء ميكاب.csv,عطر لانكوم لا في إي بيل روز إكستراوردينير أو دو برفيوم 100مل,77.3,GOLDEN-GRAY,لانكوم,review,,
عطر زافار من عمان لكجري 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bcf43b98-7d6f-4255-b82a-ca5fddd0b29f-500x500-2chAi1EGFD3dPf8PN3LSEqqlrTU8jgKseRhVA14v.png",885,متجر ساراء ميكاب.csv,عطر وندرلست عمان لكجري او دو بارفيوم 100مل,71.5,GOLDEN-GRAY,عمان لكجري,review,,
عطر جو مالون جاسمين سامباك آند ماريجولد أو دو كولون انتنس 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2b120229-5b0d-482e-ac6e-fc4396db66c5-500x500-pLadZytUAaEAlJueI4qkq6Sip3JVMI8UX6Z53Rwh.png",629,متجر ساراء ميكاب.csv,عطر جو مالون لندن إيرل جراي آند كيوكمبر أو دي كولون 100مل  للجنسين,78.7,GOLDEN-GRAY,جو مالون,review,,
عطر ناركوتيك ديلايت من انيشيو او دو برفيوم 90مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1fccf42a-45f3-4c26-a44c-7f5b571aa6b2-500x493.04174950298-VNFziShaLMcLTB9NBVa7X5AXQ0OZVDFJHGyDrcgD.png",931,متجر ساراء ميكاب.csv,عطر انيشيو باور سيلف إكستريت دو برفيوم 90 مل,77.5,GOLDEN-GRAY,انيشيو,review,,
عطر دولتشي اند غابانا ديفوشن بور أوم بارفيوم-100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/30397d9e-879f-4743-aa34-2ba25a0d450c-500x500-J8u9cmDEEEYv6B4Zga4x3W0RsB9BRnUmxMWhxJhs.png",293,متجر ساراء ميكاب.csv,عطر دولتشي اند غابانا لامبراتريس رويال أو دو تواليت 100مل,59.7,GOLDEN-GRAY,,review,,
عطربونيك رومانتيك من فالنتينو – بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e4b2f55b-3eb6-49fd-9f00-0f361dc6914d-500x500-stHTG3Ux5DslqSqN3diSzDfNUV3Dx3KmAoOoraY3.png",1255,متجر ساراء ميكاب.csv,عطر فالنتينو بورن إن روما راندي فو دونا أو دو بارفيوم 100 مل,79.5,GOLDEN-GRAY,فالنتينو,review,,
عطر ايف سان لوران 24 رو دو لونيفيرسيتي سانتال اكورد دايم او دو بارفيوم 125مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/29baa41a-d2ac-4cfa-a92e-0e774bb745cf-491.5x500-b3j6RWgJO1J5DLWHQJHVPC7FGfgmyFOHWZampb4z.jpg",1322,متجر ساراء ميكاب.csv,عطر ايف سان لوران 37 رو دو بيلشاس او دو بارفيوم 125مل للجنسين,75.4,GOLDEN-GRAY,ايف سان لوران,review,,
عطر ديزوبْييسان من جِفنشي – أو دي برفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5bf39d87-8f0a-4ca1-aefe-f33e023057ac-500x500-GZisdApFXdXQahWMKj1lEQbOnqsIN79LvkrbdTIi.png",1121,متجر ساراء ميكاب.csv,عطر جيفنشي ديزوبْييسان أو دو برفيوم 100 مل,86.8,GOLDEN-GRAY,جيفنشي,review,,
عطر انك جوتال تويلي دي يون نوي نسائي 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e61ee2b7-7e0b-4cd3-bc92-db0f669d33f8-497.00598802395x500-IFw3FT9fS8xMuldhnysgYnxyV1u0wt9QpabEjxhF.png",747,متجر ساراء ميكاب.csv,عطر دنهل فور مان أو دو توليت 100مل,62.5,GOLDEN-GRAY,,review,,
عطر عود بلاك كاندي من مانسيرا - 120 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/73d741bc-5ca4-4d6c-8666-688bacc1188f-499x500-YBmRwSj59twRcDotD62sI5gUw1o7Y8sOgpjz4CRy.png",297,متجر ساراء ميكاب.csv,عطر مانسيراء بيرل للجنسين - 120 مل,77.3,GOLDEN-GRAY,مانسيرا,review,,
عطر مرسيدس بنز ساين يور باور أو دو برفيوم انتينس 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2cfd7c32-fcd4-4d86-b9a6-5919cf88472d-500x500-8r1FHQdUbRAyeqk2dFvCYTm1dt6xF6aUTZGuRBEj.png",253,متجر ساراء ميكاب.csv,عطر مرسيدس بنز إي إيه إم جي سيلفر ثريل أو دو بارفيوم 100 مل,81.4,GOLDEN-GRAY,مرسيدس-بنز,review,,
عطر قوتشي قيلتي ابسولو دي بارفيوم الرجالي 60 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dad40881-9865-461e-8ea0-4d21a9112267-500x500-esHFagQ7MuNUQoQAWiuMXkTUI5oS4UlcNJMBlHbu.png",517,متجر ساراء ميكاب.csv,عطر قوتشي غيلتي أبسولو دو بارفيوم 60مل (للرجال),81.7,GOLDEN-GRAY,قوتشي,review,,
عطر امواج اوبس XVI تيمبر او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1224296e-6310-42f9-9a48-4c1e46e26232-478.47358121331x500-LujhPWOohF1I1FzNiDZRXa3VLKwUEqp0oM19CpOV.png",1449,متجر ساراء ميكاب.csv,عطر اجنر ديبوت باي نايت النسائي او دو بارفيوم 100مل,63.1,GOLDEN-GRAY,,review,,
عطر امواج اوفرترو النسائي او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dae1b414-1128-4bb4-b2ed-d00099f6c9d9-500x500-RpaMRbclLREgYCe3ZHcvhVdmHVj9ug3RViCs5w0i.png",1196,متجر ساراء ميكاب.csv,عطر اشر النسائي او دو بارفيوم 100مل,56.2,GOLDEN-GRAY,,review,,
عطر ايدال عود من ميزينسير- اودي بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4938d78b-aa75-4cbe-896c-abbcfb593644-500x500-O2Lx6i8wIrOgkUCRF9cpH4BAZOnP2pFbvzczNiW7.png",690,متجر ساراء ميكاب.csv,عطر ميزينسير بيرفيكت عود إكستريت دو بارفيوم 100 مل,81.3,GOLDEN-GRAY,ميزنسير,review,,
عطر ميزنسير تندر عود ادو بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d0ba7d12-0fd2-4894-9b3f-cd89f617869b-489.10891089109x500-gG6cs7nq4KncGeglkifc3jGS1hARUsBNEp6Bol67.png",598,متجر ساراء ميكاب.csv,عطر ميزينسير بيرفيكت عود إكستريت دو بارفيوم 100 مل,77.7,GOLDEN-GRAY,ميزنسير,review,,
عينة عطر جوزو من جيروبوم اكسترايت دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b9cdb05b-261b-4814-ace2-e084ae095384-500x500-e5QRtfmm8YU7RPYmaKcM1NIuibbORpG6hek3AGAn.png",25,متجر ساراء ميكاب.csv,عطر جوزو من جيروبوم اكسترايت دو بارفيوم 30مل,81.8,GOLDEN-GRAY,جيروبوم,review,,
عطر جيفنشي هوت كوتور او دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a9aed822-72d9-4d92-a54f-a72cf324850c-500x500-b3zzNpWkY4Emw3cNRNEMP7nDELGzGzy5ra2vGCEf.jpg",345,متجر ساراء ميكاب.csv,عطر جيفينشي بلاي فور هير أو دو بارفيوم 75مل,69.7,GOLDEN-GRAY,جيفنشي,review,,
عطر جو مالون توبيروز انجليكا كولونيا اينتينس 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8174c6b0-00c1-427f-b1e2-689c4d154c8f-500x491.07142857143-kxE6xhrZWGD10smZHGlt7MkyflhoiXz06OphF0Xb.png",1380,متجر ساراء ميكاب.csv,عطر جو مالون لندن بيوني آند بلش سويد كولون 100مل,77.4,GOLDEN-GRAY,جو مالون,review,,
عطر بيتالي إي سبايد من نوبيل 1942 أو دو بارفيوم 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31b3a6cb-c1bb-4d28-89b9-41a74d43a06f-500x500-9XJQTH5mr0CmpwpbcL11Jv8zpfKVdnnwmIL713um.jpg",690,متجر ساراء ميكاب.csv,عطر نوبل 1942 أمبرا نوبيل أو دو بارفيوم 75 مل,78.8,GOLDEN-GRAY,نوبل 1942,review,,
عطر فيكتور اند رولف سبايس بومب انفراريد او دو تواليت 90مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9bebd5c2-63ab-4ead-a11f-14a3c123d7b3-500x500-bL8iml5HCxEUbI1zGi8tjVdLeKYmURRj74IbGlGv.jpg",460,متجر ساراء ميكاب.csv,عطر فيكتور اند رولف في آر جود فورتشن  او دو بارفيوم   - 90 مل,77.9,GOLDEN-GRAY,فيكتور آند رولف,review,,
عينة عطر مون لايت باتشولي من فان كليف-لي بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ce2584cf-b42b-43ce-a1ee-7148678950e1-500x500-ApG0n22smtrq2DDgej2UJ4Y13Mb321DU9IXaM6s1.png",11,متجر ساراء ميكاب.csv,عطر فان كليف آند أربلز مون لايت باتشولي لي بارفيوم 75مل (للجنسين),58.4,GOLDEN-GRAY,,review,,
عطر لا بومبا النسائي من كارولينا هيريرا او دو بارفيوم 80مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8a346567-a963-4641-a144-5a4c6f7e874e-500x500-UtC2etYqko1QncapKLTSzIk326viYxgoLEHMt2lj.jpg",690,متجر ساراء ميكاب.csv,عطر كارولينا هيريرا لا بومبا أو دو بارفيوم 80مل,86.5,GOLDEN-GRAY,كارولينا هيريرا,review,,
عطر بلاي بوربون من ميمو باريس– أو دو بارفيوم 75مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/26b7c9e6-88b2-4b71-9dfe-e5bbbed8b10b-500x500-JufMvQfmMhDQuVpJE0ZaDC9wk0B8hMiGFwrF7787.png",977,متجر ساراء ميكاب.csv,تستر عطر ميمو باريس أفريكان ليذر أو دو بارفيوم 75 مل,76.9,GOLDEN-GRAY,ميمو باريس,review,,
عطر بلاك ڤايوليت من توم فورد – أو دو بارفيوم 250مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4923f30b-4249-46bb-835e-e7a7831ba592-398.88888888889x500-YtPH0QB0hjsDHlqSdb19nUsM07cuCZiN0XYh1v7M.png",3392,متجر ساراء ميكاب.csv,عطر توم فورد روز بريك أو دو بارفيوم 250مل,83.9,GOLDEN-GRAY,توم فورد,review,,
عطر بوا ماروكان توم فورد – أو دو بارفيوم 250مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f3f0e6bf-20b0-409f-8cf8-4d230b6048a2-500x500-SBoDxi9vTdKiOqEVwaVtMtBImB2vPHGuGmRdetej.png",2242,متجر ساراء ميكاب.csv,عطر توم فورد روز بريك أو دو بارفيوم 250مل,85.9,GOLDEN-GRAY,توم فورد,review,,
عطر فراجرانس دو بويس بي ام اكستريت دي برفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8f0aa229-43ce-4060-b8d5-605a80f2bc7e-471.78988326848x500-v0aD4FqcIXJh1Z5vD75KJ4Rds8TsqNL6QVUnhUbl.png",1298,متجر ساراء ميكاب.csv,عطر فراجرانس دو بوا عود نوير إنتنس برفيوم 100مل,75.9,GOLDEN-GRAY,فراجرانس دو بوا,review,,
عطرمير ميستير من توم فورد– أو دو بارفيوم 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1db0c18f-e9a3-4891-887c-96fd0330b784-500x500-O6xZ3cmlJB4FV5J92yXyCYjPzDqpDax5vaGBFclf.png",851,متجر ساراء ميكاب.csv,عطر توم فورد سوليل دي فو او دو بارفيوم 50مل,83.0,GOLDEN-GRAY,توم فورد,review,,
عطر لور فيرت من كيليان – أو دو بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5f21d228-2e4b-49fd-b261-1307677f63d4-416.81901279707x500-QPlYVT4elKZjKzFM3CWE3wVHV4POfb3l6N6S0PUz.png",799,متجر ساراء ميكاب.csv,عطر كلوي لوف ستوري أو دو بارفيوم 50 مل,55.0,GOLDEN-GRAY,كيليان,review,,
عطر أوديُون من ميمو باريس– أو دو بارفيوم 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b7537150-6b73-4a2b-a001-01331fdd2316-409.42028985507x500-cY6zyiOjt204HDhJ2nkR6zbN4sp9UNldRM422IIR.png",822,متجر ساراء ميكاب.csv,عطر ميمو باريس إنديان ليذر أو دو بارفيوم 75 مل,84.5,GOLDEN-GRAY,ميمو باريس,review,,
عطر مون لايت باتشولي من فان كليف-لي بارفيوم 75مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/358b3ba8-deef-4b41-9dfe-639047505868-500x500-3wgNCL7RO7XAy3nCmIW2SxpZitPEsIPchLRrwvJ2.png",471,متجر ساراء ميكاب.csv,عطر فان كليف آند أربلز مون لايت باتشولي لي بارفيوم 75مل (للجنسين),69.3,GOLDEN-GRAY,,review,,
عطر بلاك لاكر من توم فورد – أو دو برفيوم -50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b561de6b-0773-4c78-a79d-5e5539d340b3-500x500-tC4RmlY84gaDM4Gy6myW23ZYpaDvBF1d00pyWU8k.png",805,متجر ساراء ميكاب.csv,عطر توم فورد سوليل بلانك أو دو برفيوم 50 مل,85.3,GOLDEN-GRAY,توم فورد,review,,
عطر روزإكسبوزد من توم فورد – أو دو بارفيوم -50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d753113d-91b3-4f18-a350-94400f9853a1-500x500-UBFiOZ6hc6l8v3tljfhyxDodhAAYTr7NjzX6iuPS.png",966,متجر ساراء ميكاب.csv,عطر توم فورد توبيروز نوي أو دو بارفيوم 50مل,82.5,GOLDEN-GRAY,توم فورد,review,,
بودرة فرانك اوليفر الجسم برائحه المسك – 200جم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c216eb54-222f-4f6c-adad-18d9c82de219-500x500-QebJcoUNc02GTmqMLi2fM2iF0p7TTzu4br2mUSD3.png",194,متجر ساراء ميكاب.csv,بودرة الجسم فرانك أوليفر وايت تتش 200 جرام,75.5,GOLDEN-GRAY,فرانك أوليفر,review,,
عطر تومي هيلفيجر إمباكت الرجالي – بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8d2b3833-6539-434f-9873-5877efd559ef-500x500-Q7qEgXo5MulxFB6Qd0TBhlJ5q1gzewFZgfFU5UvH.png",269,متجر ساراء ميكاب.csv,عطر تومي هيلفيغر إمباكت بارفيوم 100 مل للرجال,80.5,GOLDEN-GRAY,تومي هيلفيغر,review,,
عطر روز عود من كيليان أو دو برفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b2fbf44e-2585-4663-bf2e-90c7ed6e127d-500x500-jplR5ZzIUBWKydJuzFTWqrRCyFT2rKFe2I22uQV5.jpg",971,متجر ساراء ميكاب.csv,عطر كيليان بامبو هارموني أو دو برفيوم 50 مل,82.6,GOLDEN-GRAY,كيليان,review,,
عطر أورموند جاين إسفركند بارفيوم –88مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7c9050a2-b1a4-431f-8135-03a68e72ec97-500x500-0hQAjrCu27NgGTzBeLqT5oCUmeUMEmWWrGWoErW7.png",672,متجر ساراء ميكاب.csv,عطر أرموند جين نواب أوف عود أو دو بارفيوم 88 مل للجنسين,76.0,GOLDEN-GRAY,ارموند جين,review,,
عطر ألفريد ريتشي نولو أو دو بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/87b567e0-175b-409d-8772-f40f24c41fdd-500x500-9B7TvZIYdsgQTCN61M2AH125wU4PmX1sw6o432uv.png",483,متجر ساراء ميكاب.csv,عطر بايريدو آيز كلوزد أو دو بارفيوم 100 مل,57.7,GOLDEN-GRAY,ألفريد ريتشي,review,,
عطر انونيموس مارينو لافندر لو بارفيوم - 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/55062f20-0a0f-4d9d-b836-a04a426ff18f-500x500-gac5l12kYdPt5NX4qUbToL3atDSKnJWPSDgOpZWH.png",138,متجر ساراء ميكاب.csv,عطر أتراكشن من لافندر إكسترايت دي بارفيوم 100 مل,78.0,GOLDEN-GRAY,لافندر,review,,
غسول الفم روز من فلوريس لندن 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/52b90fa2-e2b3-441e-ac9f-51a143fbbb14-500x500-zh2azEh6PAqO7Dln49r0IvevxmarTXK5Lzt9eOsc.png",264,متجر ساراء ميكاب.csv,غسول فم روز بالورد فلوريس لندن 100 مل,85.8,GOLDEN-GRAY,فلوريس,review,,
غسول الفم فويلت كونسنتريتد من فلوريس لندن 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7fc0bdfc-3ad7-426e-8321-8f83e0e85f7e-500x500-SaSNNLuGUBtwZSHsNkmP48KyC7yrXddrxuUt3dGs.png",264,متجر ساراء ميكاب.csv,فلوريس لندن روز كونسنتريتد غسول الفم 100 مل,87.7,GOLDEN-GRAY,فلوريس,review,,
عطر دي كيه من دولتشي اند غابانا او دي بارفيوم انتنس 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c656a7ca-75fc-4d90-856b-d4328af4bf41-500x500-d77ELxRktGEYAweuPCEMKlQeAPNdw8jMOoB0qk1B.png",313,متجر ساراء ميكاب.csv,عطر كيو من دولتشي آند غابانا للنساء  او دي بارفيوم 100مل,72.0,GOLDEN-GRAY,,review,,
عطر بور هوم من ميسوني او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ff26d635-3c11-4f70-8e43-f3246595b0ce-500x500-z7iQliIXkdppH9dFC6kolW7OQkQAgKvwb7Tn3Cud.png",201,متجر ساراء ميكاب.csv,عطر ميسوني بارفيوم بور هوم او دو بارفيوم 100مل,74.1,GOLDEN-GRAY,,review,,
عطر دانجروس مارِكس من لورنزو بازاغليا اكستريت 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bcd09340-b4b2-49cc-9e93-817e04b6f7c2-500x500-S3Ps2Vo8dfsvjJgsqkiJoyZHZ1sd6BZT4NUCUxWM.jpg",609,متجر ساراء ميكاب.csv,عطر لورينزو بازاجليا ادم ايفز دريس اكسترايت دو بارفيوم 50مل,73.0,GOLDEN-GRAY,لورينزو بازاجليا,review,,
عطر فورستا ماجيكا من لورنزو بازاغليا اكستريت 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/11ba373f-1d2a-4c03-a3f9-978fc69ccdce-375x500-e7XtjfpHvUbL81Kdkp6XNihe7ltO62QAgyB2kDtV.jpg",627,متجر ساراء ميكاب.csv,عطر لورينزو بازاجليا صن جريا اكسترايت دو بارفيوم 50مل,75.0,GOLDEN-GRAY,لورينزو بازاجليا,review,,
عطر يَس آي آم ذا كينق – كينق ميكر للرجال -100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/00255810-6674-44fc-9b28-f9557452e012-500x500-SWCTRQmwJxwz02vvr4HvFwe2pMwlEe13La4xrKE7.jpg",126,متجر ساراء ميكاب.csv,عطر دولتشي آند غابانا جراي ذا ون أو دو توليت 100مل للرجال,58.3,GOLDEN-GRAY,,review,,
سكين 1004 مدغشقر سيروم سنتيلا بخلاصة شجرة الشاي - 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6d1d06e1-4494-4206-bf37-85e3db4677f1-500x500-S1OAnpYbSwpghW6CtATaA2suo5oqmZu7x5eAiycn.png",70,متجر ساراء ميكاب.csv,أمبول مدغشقر سينتيلا من سكين1004 - 100مل,77.4,GOLDEN-GRAY,سكين1004,review,,
عطر لورينزو بازاجيليا بخور الليل نوترينو 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8fb36795-87ee-4e8f-902c-4812a09ba7e4-500x500-IzysJ8liS0zV8cdV9b9nAR2mORZ8XWvDhSOQ4TOU.png",575,متجر ساراء ميكاب.csv,عطر لورينزو بازاجليا شوكو رابتور إكستريت دو بارفيوم 50 مل للجنسين,71.0,GOLDEN-GRAY,لورينزو بازاجليا,review,,
عطر روبرتو كفالي جست كفالي جيف مي ماجيك او دو تواليت 90مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ec970c4d-3496-42d9-998c-df03653e9ba7-500x500-6YlF0PfdFxFt1rBNAHT9CkizNPvVuiHAFzX04arQ.png",195,متجر ساراء ميكاب.csv,عطر روبرتو كفالي جست كفالي جولدا او دو برفيوم 90مل,81.5,GOLDEN-GRAY,روبيرتو كافالي,review,,
عينة غلورياس من بوديسيا ذا فيكتورياس أو دو بارفان,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7249e383-5235-454d-9b5a-4973af6300f5-500x500-mi4k5G3gHiTLYAqPJqyaYmef13Pi788gHGuCZ7HL.png",115,متجر ساراء ميكاب.csv,تستر بوديسيا ذا فيكتوريوس ديكيد أو دو بارفيوم 100 مل للجنسين,70.5,GOLDEN-GRAY,بوديسيا,review,,
عطر ميس ديور من كريستيان ديور بارفوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1cfb8f17-cc7c-47c5-85ec-bc4494e70aeb-500x500-PxQ9W5B6wS1ZMqhOOKf82RVDrA97a3cRLehWk5jU.jpg",605,متجر ساراء ميكاب.csv,عطر كريستيان ديور هولي بيوني أو دو بارفيوم 250مل,67.1,GOLDEN-GRAY,ديور,review,,
عطر ميس ديور من كريستيان ديور أو دو بارفان,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b922d35e-882f-4672-9186-3dd279cfe46d-500x500-Ipq2Ae7cXPJCukISVGSjoI4avdAdU1Bmea7oawi3.png",926,متجر ساراء ميكاب.csv,عطر كريستيان ديور هولي بيوني أو دو بارفيوم 250مل,74.1,GOLDEN-GRAY,ديور,review,,
عطر إيلي صعب لي بارفيوم أبسولو أو دو بارفيوم 90 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a9fc8bb9-a190-427f-81df-d61145da2add-500x500-cAVDcbdbVHGtJEtQaXJvYxOxfkjfAlkHRQUWe6II.png",345,متجر ساراء ميكاب.csv,عطر إيلي صعب لو بارفيوم انتنس أو دو بارفيوم 90مل,87.2,GOLDEN-GRAY,إيلي صعب,review,,
عطر جادور من كريستيان ديور أو دو بارفان رولر بيرل 20 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e4c577d6-f756-4d95-80f3-05729fda7d72-500x500-lw9bORrBENVFJ7gGPPDOlIs50mPrsvEyEUVFoERj.jpg",328,متجر ساراء ميكاب.csv,عطر ديور هيبنوتيك بويزون رولر بيرل أو دو تواليت 20 مل,77.7,GOLDEN-GRAY,ديور,review,,
